EXPTYPE	SAMPLE	TYPE	COUNT
wes	SBR280	HIGH	656
wes	SBR280	MODERATE	11091
wes	SBR280	MODIFIER	13774
wes	SBR280	LOW	13554
wes	SBR282	HIGH	635
wes	SBR282	MODERATE	11166
wes	SBR282	MODIFIER	13829
wes	SBR282	LOW	13731
wes	SBR284	HIGH	645
wes	SBR284	MODERATE	11173
wes	SBR284	MODIFIER	13783
wes	SBR284	LOW	13741
wes	SBR285	HIGH	620
wes	SBR285	MODERATE	11333
wes	SBR285	MODIFIER	13840
wes	SBR285	LOW	13927
wes	SBR286	HIGH	640
wes	SBR286	MODERATE	11082
wes	SBR286	MODIFIER	13667
wes	SBR286	LOW	13604
wes	SBR287	HIGH	642
wes	SBR287	MODERATE	11160
wes	SBR287	MODIFIER	13628
wes	SBR287	LOW	13792
ces	SCH00404	HIGH	139
ces	SCH00404	MODERATE	3051
ces	SCH00404	MODIFIER	944
ces	SCH00404	LOW	4384
ces	SCH00405	HIGH	122
ces	SCH00405	MODERATE	2911
ces	SCH00405	MODIFIER	942
ces	SCH00405	LOW	4205
ces	SCH00406	HIGH	146
ces	SCH00406	MODERATE	3086
ces	SCH00406	MODIFIER	966
ces	SCH00406	LOW	4407
wes	SCH00408	HIGH	691
wes	SCH00408	MODERATE	11549
wes	SCH00408	MODIFIER	13018
wes	SCH00408	LOW	13011
wes	SCH00409	HIGH	647
wes	SCH00409	MODERATE	11246
wes	SCH00409	MODIFIER	12972
wes	SCH00409	LOW	12856
wes	SCH00410	HIGH	582
wes	SCH00410	MODERATE	11261
wes	SCH00410	MODIFIER	12791
wes	SCH00410	LOW	12741
wes	SCH00411	HIGH	671
wes	SCH00411	MODERATE	11390
wes	SCH00411	MODIFIER	12704
wes	SCH00411	LOW	12909
wes	SCH00412	HIGH	658
wes	SCH00412	MODERATE	11429
wes	SCH00412	MODIFIER	12924
wes	SCH00412	LOW	12847
wes	SCH00413	HIGH	625
wes	SCH00413	MODERATE	11372
wes	SCH00413	MODIFIER	12823
wes	SCH00413	LOW	12814
wes	SCH00417	HIGH	614
wes	SCH00417	MODERATE	11166
wes	SCH00417	MODIFIER	12602
wes	SCH00417	LOW	12851
wes	SCH00418	HIGH	655
wes	SCH00418	MODERATE	11028
wes	SCH00418	MODIFIER	12593
wes	SCH00418	LOW	12650
wes	SCH00419	HIGH	663
wes	SCH00419	MODERATE	11292
wes	SCH00419	MODIFIER	12671
wes	SCH00419	LOW	12787
wes	SCH00420	HIGH	640
wes	SCH00420	MODERATE	11177
wes	SCH00420	MODIFIER	12597
wes	SCH00420	LOW	12770
wes	SCH00421	HIGH	574
wes	SCH00421	MODERATE	11236
wes	SCH00421	MODIFIER	12475
wes	SCH00421	LOW	12650
wes	SCH00422	HIGH	579
wes	SCH00422	MODERATE	11208
wes	SCH00422	MODIFIER	12504
wes	SCH00422	LOW	12815
wes	SCH00423	HIGH	597
wes	SCH00423	MODERATE	11075
wes	SCH00423	MODIFIER	12342
wes	SCH00423	LOW	12873
wes	SCH00424	HIGH	631
wes	SCH00424	MODERATE	11344
wes	SCH00424	MODIFIER	12761
wes	SCH00424	LOW	12662
ces	SCH00425	HIGH	137
ces	SCH00425	MODERATE	3055
ces	SCH00425	MODIFIER	892
ces	SCH00425	LOW	4363
wes	SCH00426	HIGH	587
wes	SCH00426	MODERATE	11106
wes	SCH00426	MODIFIER	12409
wes	SCH00426	LOW	12703
wes	SCH00427	HIGH	662
wes	SCH00427	MODERATE	11138
wes	SCH00427	MODIFIER	13748
wes	SCH00427	LOW	13597
wes	SCH00428	HIGH	602
wes	SCH00428	MODERATE	10955
wes	SCH00428	MODIFIER	13515
wes	SCH00428	LOW	13511
wes	SCH00429	HIGH	627
wes	SCH00429	MODERATE	11012
wes	SCH00429	MODIFIER	13684
wes	SCH00429	LOW	13587
wes	SCH00430	HIGH	605
wes	SCH00430	MODERATE	11137
wes	SCH00430	MODIFIER	13644
wes	SCH00430	LOW	13674
wes	SCH00431	HIGH	605
wes	SCH00431	MODERATE	11016
wes	SCH00431	MODIFIER	13612
wes	SCH00431	LOW	13749
wes	SCH00432	HIGH	608
wes	SCH00432	MODERATE	10861
wes	SCH00432	MODIFIER	13334
wes	SCH00432	LOW	13409
wes	SCH00433	HIGH	587
wes	SCH00433	MODERATE	11271
wes	SCH00433	MODIFIER	12643
wes	SCH00433	LOW	12780
wes	SCH00434	HIGH	638
wes	SCH00434	MODERATE	11461
wes	SCH00434	MODIFIER	12594
wes	SCH00434	LOW	12816
wes	SCH00437	HIGH	622
wes	SCH00437	MODERATE	11238
wes	SCH00437	MODIFIER	12513
wes	SCH00437	LOW	12662
wes	SCH00438	HIGH	616
wes	SCH00438	MODERATE	11260
wes	SCH00438	MODIFIER	12406
wes	SCH00438	LOW	12770
wes	SCH00439	HIGH	624
wes	SCH00439	MODERATE	11037
wes	SCH00439	MODIFIER	12461
wes	SCH00439	LOW	12733
ces	SCH00442	HIGH	138
ces	SCH00442	MODERATE	3051
ces	SCH00442	MODIFIER	938
ces	SCH00442	LOW	4430
ces	SCH00456	HIGH	132
ces	SCH00456	MODERATE	3008
ces	SCH00456	MODIFIER	937
ces	SCH00456	LOW	4372
ces	SCH00511	HIGH	132
ces	SCH00511	MODERATE	3078
ces	SCH00511	MODIFIER	940
ces	SCH00511	LOW	4472
wes	SCH00660	HIGH	566
wes	SCH00660	MODERATE	10710
wes	SCH00660	MODIFIER	11798
wes	SCH00660	LOW	12352
wes	SCH01659	HIGH	573
wes	SCH01659	MODERATE	10665
wes	SCH01659	MODIFIER	11637
wes	SCH01659	LOW	12153
wes	SCH01670	HIGH	573
wes	SCH01670	MODERATE	10765
wes	SCH01670	MODIFIER	11816
wes	SCH01670	LOW	12364
wes	SCH01675	HIGH	552
wes	SCH01675	MODERATE	10453
wes	SCH01675	MODIFIER	11178
wes	SCH01675	LOW	11772
wes	SCH01678	HIGH	567
wes	SCH01678	MODERATE	10714
wes	SCH01678	MODIFIER	11863
wes	SCH01678	LOW	12313
wes	SCH01686	HIGH	560
wes	SCH01686	MODERATE	10797
wes	SCH01686	MODIFIER	12090
wes	SCH01686	LOW	12480
wes	SCH01689	HIGH	569
wes	SCH01689	MODERATE	10724
wes	SCH01689	MODIFIER	11815
wes	SCH01689	LOW	12111
wes	SCH01691	HIGH	606
wes	SCH01691	MODERATE	10810
wes	SCH01691	MODIFIER	12072
wes	SCH01691	LOW	12442
wes	SCH01692	HIGH	594
wes	SCH01692	MODERATE	10713
wes	SCH01692	MODIFIER	11642
wes	SCH01692	LOW	12247
wes	SCH01693	HIGH	540
wes	SCH01693	MODERATE	10600
wes	SCH01693	MODIFIER	11388
wes	SCH01693	LOW	12060
wes	SCH01694	HIGH	590
wes	SCH01694	MODERATE	10638
wes	SCH01694	MODIFIER	11610
wes	SCH01694	LOW	12199
ces	SCH01695	HIGH	141
ces	SCH01695	MODERATE	3052
ces	SCH01695	MODIFIER	975
ces	SCH01695	LOW	4392
ces	SCH01696	HIGH	141
ces	SCH01696	MODERATE	2998
ces	SCH01696	MODIFIER	945
ces	SCH01696	LOW	4378
ces	SCH01697	HIGH	146
ces	SCH01697	MODERATE	3109
ces	SCH01697	MODIFIER	975
ces	SCH01697	LOW	4453
ces	SCH01698	HIGH	147
ces	SCH01698	MODERATE	3059
ces	SCH01698	MODIFIER	991
ces	SCH01698	LOW	4449
ces	SCH01699	HIGH	158
ces	SCH01699	MODERATE	3080
ces	SCH01699	MODIFIER	928
ces	SCH01699	LOW	4497
wes	SCH01826	HIGH	577
wes	SCH01826	MODERATE	10794
wes	SCH01826	MODIFIER	12069
wes	SCH01826	LOW	12478
wes	SCH01827	HIGH	641
wes	SCH01827	MODERATE	11563
wes	SCH01827	MODIFIER	12762
wes	SCH01827	LOW	13025
wes	SCH01828	HIGH	634
wes	SCH01828	MODERATE	11403
wes	SCH01828	MODIFIER	12971
wes	SCH01828	LOW	12871
wes	SCH01830	HIGH	654
wes	SCH01830	MODERATE	11214
wes	SCH01830	MODIFIER	12640
wes	SCH01830	LOW	12725
wes	SCH01831	HIGH	651
wes	SCH01831	MODERATE	11421
wes	SCH01831	MODIFIER	12530
wes	SCH01831	LOW	12838
wes	SCH01832	HIGH	605
wes	SCH01832	MODERATE	11237
wes	SCH01832	MODIFIER	12733
wes	SCH01832	LOW	12728
wes	SCH01833	HIGH	602
wes	SCH01833	MODERATE	11063
wes	SCH01833	MODIFIER	12596
wes	SCH01833	LOW	12724
wes	SCH01834	HIGH	677
wes	SCH01834	MODERATE	11261
wes	SCH01834	MODIFIER	12637
wes	SCH01834	LOW	12952
wes	SCH01835	HIGH	589
wes	SCH01835	MODERATE	11412
wes	SCH01835	MODIFIER	12939
wes	SCH01835	LOW	13104
wes	SCH01836	HIGH	626
wes	SCH01836	MODERATE	11465
wes	SCH01836	MODIFIER	12951
wes	SCH01836	LOW	13081
wes	SCH01837	HIGH	632
wes	SCH01837	MODERATE	11130
wes	SCH01837	MODIFIER	12375
wes	SCH01837	LOW	12626
wes	SCH01838	HIGH	632
wes	SCH01838	MODERATE	11241
wes	SCH01838	MODIFIER	12555
wes	SCH01838	LOW	12829
wes	SCH01839	HIGH	627
wes	SCH01839	MODERATE	11177
wes	SCH01839	MODIFIER	12531
wes	SCH01839	LOW	12760
wes	SCH01840	HIGH	629
wes	SCH01840	MODERATE	11258
wes	SCH01840	MODIFIER	12409
wes	SCH01840	LOW	12719
wes	SCH01841	HIGH	643
wes	SCH01841	MODERATE	11387
wes	SCH01841	MODIFIER	12546
wes	SCH01841	LOW	12759
wes	SCH01842	HIGH	585
wes	SCH01842	MODERATE	11165
wes	SCH01842	MODIFIER	12355
wes	SCH01842	LOW	12652
wes	SCH01843	HIGH	635
wes	SCH01843	MODERATE	11367
wes	SCH01843	MODIFIER	12835
wes	SCH01843	LOW	12883
wes	SCH01844	HIGH	587
wes	SCH01844	MODERATE	11201
wes	SCH01844	MODIFIER	12516
wes	SCH01844	LOW	12606
wes	SCH01845	HIGH	592
wes	SCH01845	MODERATE	10997
wes	SCH01845	MODIFIER	12365
wes	SCH01845	LOW	12497
wes	SCH01846	HIGH	623
wes	SCH01846	MODERATE	10972
wes	SCH01846	MODIFIER	12439
wes	SCH01846	LOW	12634
wes	SCH01847	HIGH	602
wes	SCH01847	MODERATE	11330
wes	SCH01847	MODIFIER	12404
wes	SCH01847	LOW	12655
wes	SCH01848	HIGH	652
wes	SCH01848	MODERATE	11350
wes	SCH01848	MODIFIER	12428
wes	SCH01848	LOW	12864
wes	SCH01849	HIGH	620
wes	SCH01849	MODERATE	11199
wes	SCH01849	MODIFIER	12520
wes	SCH01849	LOW	12619
wes	SCH01850	HIGH	584
wes	SCH01850	MODERATE	11035
wes	SCH01850	MODIFIER	12062
wes	SCH01850	LOW	12440
wes	SCH01851	HIGH	628
wes	SCH01851	MODERATE	11352
wes	SCH01851	MODIFIER	12582
wes	SCH01851	LOW	12693
wes	SCH01852	HIGH	589
wes	SCH01852	MODERATE	11063
wes	SCH01852	MODIFIER	12431
wes	SCH01852	LOW	12615
wes	SCH01853	HIGH	645
wes	SCH01853	MODERATE	11358
wes	SCH01853	MODIFIER	12977
wes	SCH01853	LOW	12982
wes	SCH01854	HIGH	659
wes	SCH01854	MODERATE	11430
wes	SCH01854	MODIFIER	12872
wes	SCH01854	LOW	13044
wes	SCH01855	HIGH	647
wes	SCH01855	MODERATE	11578
wes	SCH01855	MODIFIER	13084
wes	SCH01855	LOW	13188
wes	SCH01859	HIGH	648
wes	SCH01859	MODERATE	11284
wes	SCH01859	MODIFIER	12761
wes	SCH01859	LOW	12765
wes	SCH01860	HIGH	630
wes	SCH01860	MODERATE	11282
wes	SCH01860	MODIFIER	12773
wes	SCH01860	LOW	13016
wes	SCH01861	HIGH	629
wes	SCH01861	MODERATE	11203
wes	SCH01861	MODIFIER	12697
wes	SCH01861	LOW	12959
wes	SCH01893	HIGH	629
wes	SCH01893	MODERATE	11286
wes	SCH01893	MODIFIER	12854
wes	SCH01893	LOW	12885
wes	SCH01894	HIGH	627
wes	SCH01894	MODERATE	11286
wes	SCH01894	MODIFIER	12872
wes	SCH01894	LOW	12866
wes	SCH01895	HIGH	632
wes	SCH01895	MODERATE	11206
wes	SCH01895	MODIFIER	12871
wes	SCH01895	LOW	12905
wes	SCH01896	HIGH	639
wes	SCH01896	MODERATE	11377
wes	SCH01896	MODIFIER	12934
wes	SCH01896	LOW	12969
wes	SCH01897	HIGH	626
wes	SCH01897	MODERATE	11104
wes	SCH01897	MODIFIER	12826
wes	SCH01897	LOW	12842
wes	SCH01944	HIGH	587
wes	SCH01944	MODERATE	10776
wes	SCH01944	MODIFIER	11977
wes	SCH01944	LOW	12182
wes	SCH01945	HIGH	608
wes	SCH01945	MODERATE	11229
wes	SCH01945	MODIFIER	12794
wes	SCH01945	LOW	12930
wes	SCH01965	HIGH	611
wes	SCH01965	MODERATE	11207
wes	SCH01965	MODIFIER	12695
wes	SCH01965	LOW	12913
wes	SCH01966	HIGH	587
wes	SCH01966	MODERATE	11168
wes	SCH01966	MODIFIER	12064
wes	SCH01966	LOW	12571
wes	SCH01967	HIGH	576
wes	SCH01967	MODERATE	10818
wes	SCH01967	MODIFIER	11992
wes	SCH01967	LOW	12209
wes	SCH01968	HIGH	613
wes	SCH01968	MODERATE	11260
wes	SCH01968	MODIFIER	13142
wes	SCH01968	LOW	12897
wes	SCH01969	HIGH	603
wes	SCH01969	MODERATE	11093
wes	SCH01969	MODIFIER	12830
wes	SCH01969	LOW	12653
wes	SCH01970	HIGH	610
wes	SCH01970	MODERATE	11077
wes	SCH01970	MODIFIER	12694
wes	SCH01970	LOW	12622
wes	SCH01971	HIGH	581
wes	SCH01971	MODERATE	11080
wes	SCH01971	MODIFIER	12574
wes	SCH01971	LOW	12700
wes	SCH02301	HIGH	661
wes	SCH02301	MODERATE	11382
wes	SCH02301	MODIFIER	13988
wes	SCH02301	LOW	13833
wes	SCH02617	HIGH	670
wes	SCH02617	MODERATE	11265
wes	SCH02617	MODIFIER	13852
wes	SCH02617	LOW	13655
wes	SCH02618	HIGH	651
wes	SCH02618	MODERATE	11157
wes	SCH02618	MODIFIER	13902
wes	SCH02618	LOW	13688
wes	SCH02619	HIGH	577
wes	SCH02619	MODERATE	10823
wes	SCH02619	MODIFIER	13363
wes	SCH02619	LOW	13354
wes	SCH02620	HIGH	640
wes	SCH02620	MODERATE	11288
wes	SCH02620	MODIFIER	13616
wes	SCH02620	LOW	13734
wes	SCH02621	HIGH	642
wes	SCH02621	MODERATE	10931
wes	SCH02621	MODIFIER	13473
wes	SCH02621	LOW	13482
wes	SCH02622	HIGH	616
wes	SCH02622	MODERATE	10944
wes	SCH02622	MODIFIER	13371
wes	SCH02622	LOW	13404
wes	SCH02625	HIGH	630
wes	SCH02625	MODERATE	10957
wes	SCH02625	MODIFIER	13526
wes	SCH02625	LOW	13480
wes	SCH02626	HIGH	656
wes	SCH02626	MODERATE	11175
wes	SCH02626	MODIFIER	13650
wes	SCH02626	LOW	13882
wes	SCH02627	HIGH	623
wes	SCH02627	MODERATE	11115
wes	SCH02627	MODIFIER	13834
wes	SCH02627	LOW	13726
wes	SCH02628	HIGH	626
wes	SCH02628	MODERATE	10870
wes	SCH02628	MODIFIER	13246
wes	SCH02628	LOW	13395
wes	SCH02629	HIGH	621
wes	SCH02629	MODERATE	11000
wes	SCH02629	MODIFIER	13666
wes	SCH02629	LOW	13552
wes	SCH02630	HIGH	619
wes	SCH02630	MODERATE	11024
wes	SCH02630	MODIFIER	13613
wes	SCH02630	LOW	13650
wes	SCH02631	HIGH	629
wes	SCH02631	MODERATE	11027
wes	SCH02631	MODIFIER	13226
wes	SCH02631	LOW	13575
wes	SCH02632	HIGH	610
wes	SCH02632	MODERATE	10962
wes	SCH02632	MODIFIER	13322
wes	SCH02632	LOW	13591
wes	SCH02633	HIGH	577
wes	SCH02633	MODERATE	10950
wes	SCH02633	MODIFIER	13484
wes	SCH02633	LOW	13426
wes	SCH02768	HIGH	664
wes	SCH02768	MODERATE	11039
wes	SCH02768	MODIFIER	13721
wes	SCH02768	LOW	13659
wes	SCH02812	HIGH	635
wes	SCH02812	MODERATE	11536
wes	SCH02812	MODIFIER	12859
wes	SCH02812	LOW	13128
wes	SCH02813	HIGH	614
wes	SCH02813	MODERATE	11295
wes	SCH02813	MODIFIER	12486
wes	SCH02813	LOW	12683
wes	SCH02814	HIGH	615
wes	SCH02814	MODERATE	11391
wes	SCH02814	MODIFIER	12843
wes	SCH02814	LOW	12938
wes	SCH02815	HIGH	583
wes	SCH02815	MODERATE	11181
wes	SCH02815	MODIFIER	12340
wes	SCH02815	LOW	12668
wes	SCH02816	HIGH	616
wes	SCH02816	MODERATE	11278
wes	SCH02816	MODIFIER	12648
wes	SCH02816	LOW	12746
wes	SCH02817	HIGH	638
wes	SCH02817	MODERATE	11335
wes	SCH02817	MODIFIER	12569
wes	SCH02817	LOW	12806
wes	SCH02818	HIGH	640
wes	SCH02818	MODERATE	11399
wes	SCH02818	MODIFIER	12584
wes	SCH02818	LOW	12964
wes	SCH02819	HIGH	631
wes	SCH02819	MODERATE	11361
wes	SCH02819	MODIFIER	12722
wes	SCH02819	LOW	12993
wes	SCH02882	HIGH	626
wes	SCH02882	MODERATE	11374
wes	SCH02882	MODIFIER	12545
wes	SCH02882	LOW	12865
wes	SCH02883	HIGH	631
wes	SCH02883	MODERATE	11181
wes	SCH02883	MODIFIER	12504
wes	SCH02883	LOW	12790
wes	SCH02884	HIGH	615
wes	SCH02884	MODERATE	11179
wes	SCH02884	MODIFIER	12689
wes	SCH02884	LOW	12946
wes	SCH02885	HIGH	597
wes	SCH02885	MODERATE	11187
wes	SCH02885	MODIFIER	12402
wes	SCH02885	LOW	12632
wes	SCH03012	HIGH	612
wes	SCH03012	MODERATE	11212
wes	SCH03012	MODIFIER	12293
wes	SCH03012	LOW	12744
wes	SCH2009	HIGH	615
wes	SCH2009	MODERATE	10987
wes	SCH2009	MODIFIER	12112
wes	SCH2009	LOW	12428
wes	SCH2224	HIGH	616
wes	SCH2224	MODERATE	11268
wes	SCH2224	MODIFIER	12423
wes	SCH2224	LOW	12602
wes	SE	HIGH	619
wes	SE	MODERATE	11089
wes	SE	MODIFIER	13190
wes	SE	LOW	13389
wes	SFFPE-block	HIGH	2771
wes	SFFPE-block	MODERATE	11446
wes	SFFPE-block	MODIFIER	13635
wes	SFFPE-block	LOW	12501
ces	SGMD453	HIGH	128
ces	SGMD453	MODERATE	3050
ces	SGMD453	MODIFIER	886
ces	SGMD453	LOW	4418
ces	SGO8401	HIGH	127
ces	SGO8401	MODERATE	2953
ces	SGO8401	MODIFIER	859
ces	SGO8401	LOW	4258
wes	SGetero	HIGH	198
wes	SGetero	MODERATE	3407
wes	SGetero	MODIFIER	1643
wes	SGetero	LOW	3788
wes	SHUVOS	HIGH	407
wes	SHUVOS	MODERATE	8035
wes	SHUVOS	MODIFIER	4455
wes	SHUVOS	LOW	9105
wes	SHorion	HIGH	600
wes	SHorion	MODERATE	10774
wes	SHorion	MODIFIER	12043
wes	SHorion	LOW	12814
wes	SII	HIGH	561
wes	SII	MODERATE	10339
wes	SII	MODIFIER	8600
wes	SII	LOW	12263
wes	SMV18-1	HIGH	585
wes	SMV18-1	MODERATE	11006
wes	SMV18-1	MODIFIER	12363
wes	SMV18-1	LOW	12771
wes	SMV834	HIGH	641
wes	SMV834	MODERATE	11259
wes	SMV834	MODIFIER	13661
wes	SMV834	LOW	13826
wes	SMV835	HIGH	640
wes	SMV835	MODERATE	11460
wes	SMV835	MODIFIER	14091
wes	SMV835	LOW	13953
wes	SMV984	HIGH	616
wes	SMV984	MODERATE	11149
wes	SMV984	MODIFIER	12490
wes	SMV984	LOW	12654
wes	SORF2	HIGH	629
wes	SORF2	MODERATE	11009
wes	SORF2	MODIFIER	13539
wes	SORF2	LOW	13459
wes	SORF3	HIGH	660
wes	SORF3	MODERATE	11121
wes	SORF3	MODIFIER	13728
wes	SORF3	LOW	13605
wes	SORP0004	HIGH	589
wes	SORP0004	MODERATE	10990
wes	SORP0004	MODIFIER	13328
wes	SORP0004	LOW	13558
wes	SOTTU	HIGH	692
wes	SOTTU	MODERATE	10581
wes	SOTTU	MODIFIER	11809
wes	SOTTU	LOW	12538
wes	SS	HIGH	641
wes	SS	MODERATE	11170
wes	SS	MODIFIER	13658
wes	SS	LOW	13608
wes	SSMA2	HIGH	680
wes	SSMA2	MODERATE	11263
wes	SSMA2	MODIFIER	14024
wes	SSMA2	LOW	13819
wes	SSMA3	HIGH	660
wes	SSMA3	MODERATE	11088
wes	SSMA3	MODIFIER	13964
wes	SSMA3	LOW	13783
wes	SSSExomesv6DNA01indexA01	HIGH	591
wes	SSSExomesv6DNA01indexA01	MODERATE	10483
wes	SSSExomesv6DNA01indexA01	MODIFIER	34354
wes	SSSExomesv6DNA01indexA01	LOW	12858
wes	SSSExomesv6DNA02indexB01	HIGH	565
wes	SSSExomesv6DNA02indexB01	MODERATE	10425
wes	SSSExomesv6DNA02indexB01	MODIFIER	34356
wes	SSSExomesv6DNA02indexB01	LOW	12724
wes	SSSExomesv6DNA03indexC01	HIGH	586
wes	SSSExomesv6DNA03indexC01	MODERATE	10343
wes	SSSExomesv6DNA03indexC01	MODIFIER	34113
wes	SSSExomesv6DNA03indexC01	LOW	12746
wes	SSSExomesv6DNA04indexD01	HIGH	581
wes	SSSExomesv6DNA04indexD01	MODERATE	10453
wes	SSSExomesv6DNA04indexD01	MODIFIER	34049
wes	SSSExomesv6DNA04indexD01	LOW	12873
wes	SSSExomesv6DNA05indexE01	HIGH	591
wes	SSSExomesv6DNA05indexE01	MODERATE	10503
wes	SSSExomesv6DNA05indexE01	MODIFIER	34314
wes	SSSExomesv6DNA05indexE01	LOW	12718
wes	SSSExomesv6DNA06indexF01	HIGH	584
wes	SSSExomesv6DNA06indexF01	MODERATE	10425
wes	SSSExomesv6DNA06indexF01	MODIFIER	34263
wes	SSSExomesv6DNA06indexF01	LOW	12640
wes	SSSExomesv6DNA07indexG01	HIGH	606
wes	SSSExomesv6DNA07indexG01	MODERATE	10617
wes	SSSExomesv6DNA07indexG01	MODIFIER	34418
wes	SSSExomesv6DNA07indexG01	LOW	12827
wes	SSSExomesv6DNA08indexH01	HIGH	606
wes	SSSExomesv6DNA08indexH01	MODERATE	10369
wes	SSSExomesv6DNA08indexH01	MODIFIER	34060
wes	SSSExomesv6DNA08indexH01	LOW	12636
wes	SSSExomesv6DNA09indexA02	HIGH	587
wes	SSSExomesv6DNA09indexA02	MODERATE	10589
wes	SSSExomesv6DNA09indexA02	MODIFIER	34275
wes	SSSExomesv6DNA09indexA02	LOW	12995
wes	SSSExomesv6DNA10indexB02	HIGH	582
wes	SSSExomesv6DNA10indexB02	MODERATE	10297
wes	SSSExomesv6DNA10indexB02	MODIFIER	34185
wes	SSSExomesv6DNA10indexB02	LOW	12796
ces	Sex82	HIGH	134
ces	Sex82	MODERATE	3021
ces	Sex82	MODIFIER	819
ces	Sex82	LOW	4272
wes	Smel	HIGH	569
wes	Smel	MODERATE	11025
wes	Smel	MODIFIER	8113
wes	Smel	LOW	12601
wes	Spav	HIGH	584
